100;x;x;x;x
101;x;x;x;x
102;x;x;x;x
103;x;x;x;x
104;x;x;x;x
105;x;x;x;x
106;x;x;x;x
107;x;x;x;x
108;x;x;x;x
109;x;x;x;x
110;x;x;x;x
111;x;x;x;x
112;x;x;x;x
114;x;x;x;x
115;x;x;x;x
116;x;x;x;x
118;x;x;x;x
120;x;x;x;x
122;x;x;x;x
124;x;x;x;x
125;x;x;x;x
126;x;x;x;x
127;x;x;x;x
128;x;x;x;x
129;x;x;x;x
130;x;x;x;x
131;x;x;x;x
132;x;x;x;x
133;x;x;x;x
134;x;x;x;x
135;x;x;x;x
136;x;x;x;x
138;x;x;x;x
140;x;x;x;x
CDG;x;x;x;x
ASC;x;x;x;x
ESC;x;x;x;x
201;x;x;;
202;x;x;;
